id,stack_id,rowrange,depth,heightrange,terminalstopoveraction_id,put_handling_id,put_correction_id,pull_handling_id,pull_correction_id,yardmovehandling_id,container_number,container_relative_marker_position,container_height,marker_id,reachstacker_moves,crane_moves,locationinformation_id,straddlecarrier_moves
3841631,2352137,"[0,1)",0,"[0,1)",3678032,3678028,,3844636,,,,1,0,,0,0,3841632,0
3862049,2351426,"[54902,60998)",0,"[5242,7863)",3128955,3862033,,3862171,,,,1,0,,0,0,3862048,0
3829520,2352127,"[0,1)",0,"[0,1)",3668418,3829471,,3835253,,,,1,0,,0,0,3829519,0
3829786,2352137,"[0,1)",0,"[0,1)",3668423,3668419,,3836912,,,,1,0,,0,0,3829787,0
3829989,2352137,"[0,1)",0,"[0,1)",3668433,3668429,,3837097,,,,1,0,,0,0,3829990,0
3830211,2352137,"[0,1)",0,"[0,1)",3668443,3668439,,3837227,,,,1,0,,0,0,3830212,0
3830283,2352137,"[0,1)",0,"[0,1)",3668448,3668444,,3837285,,,,1,0,,0,0,3830284,0
3830361,2352137,"[0,1)",0,"[0,1)",3668453,3668449,,3837378,,,,1,0,,0,0,3830362,0
4159165,2351021,"[2,12194)",0,"[0,2896)",3119765,4159124,,3119771,,,,1,0,,0,0,4159164,0
3369374,2351831,"[36602,48794)",0,"[0,2896)",3128674,,3369373,,4014345,,,1,0,,0,0,3369375,0
3862874,2352135,"[0,1)",0,"[0,1)",3126158,3126154,,3862922,,,,1,0,,0,0,3862875,0
3838926,2351853,"[24406,36598)",0,"[0,2621)",3668563,3838912,,3832511,,,,1,0,,0,0,3838925,0
3866647,2352135,"[0,1)",0,"[0,1)",3126043,3126039,,3866745,,,,1,0,,0,0,3866648,0
3668163,2351790,"[61006,73198)",0,"[5822,8443)",3128228,3668038,,,4014346,,,1,0,,0,0,3668162,0
3421684,2352131,"[0,1)",0,"[0,1)",3127003,3419121,,,4014347,,,1,0,,0,0,3421683,0
5176231,2352137,"[0,1)",0,"[0,1)",3105410,5086881,,3105415,,,,1,0,,0,0,5176242,0
3862468,2351426,"[54902,60998)",0,"[5242,7863)",3128955,3862436,,3860667,,,,1,0,,0,0,3862467,1
3443561,2351417,"[24402,30498)",0,"[2621,5242)",3200485,,3443559,,4014348,,,1,0,,0,0,3443560,0
3670180,2351790,"[18322,30514)",0,"[0,2896)",3128823,3669999,,,4014349,,,1,0,,0,0,3670179,0
